BIJAPUR Latitude: 16.82N Longitude: 75.72E ...



Latitude-Longitude of World Cities (www.realestate3d.com)

Arranged via world regions

    * Australia & Southwest Pacific
    * Asia
    * Former Soviet Union
    * Middle East
    * Africa
    * Europe
    * North and South America
    * Pacific Ocean 

Format:
[airport or city code] [city] [lat degree] [lat min] [N or S] [long degree] [long min] [E or W]

Data from Magellan GPS Reference Guide and www.travelocity.com

AUSTRALIA AND SOUTHWEST PACIFIC
ADL ADELAIDE, AUSTRALIA		34 55 S		138 35 E
ASP ALICE SPRINGS, AUSTRALIA	23 42 S		133 53 E
APW APIA, SAMOA			13 48 S		171 45 W
AKL AUCKLAND,NEW ZEALAND	36 55 S		174 47 E
XXX BOURAIL			21 34 S		165 29 E
BNE BRISBANE, AUSTRALIA		27 28 S		153 02 E
CBR CANBERRA, AUSTRALIA		35 17 S		149 08 E
CPD COOBER PEDY ,AUSTRALIA	28 56 S		134 45 E
DRW DARWIN, AUSTRALIA		12 28 S		130 50 E
DRB DERBY, AUSTRALIA		17 19 S		123 38 E
HIR HONIARA, SOLOMON ISLAND	9 28 S		159 57 E
XXX IRON RANGE			19 39 S		143 13 E
XXX MOUNT ISA			20 50 S		139 29 E
NAN NADI, FIJI			17 47 S		177 29 E
ZNE NEWMAN, AUSTRALIA		23 20 S		119 34 E
PER PERTH, AUSTRALIA		31 56 S		115 50 E
POM PORT MORESBY, PAPUA	NEW G	9 30 S		147 07 E	
TIU TIMARU, NEW ZEALAND		44 23 S		171 14 E
TSV TOWNSVILLE, AUSTRALIA	19 13 S		146 48 E

ASIA
BLR BANGALORE, INDIA		12 58 N		77 35 E
BKK BANGKOK, THAILAND		13 44 N		100 30 E
PEK BEIJING, CHINA		39 55 N		116 26 E
BOM BOMBAY, INDIA		18 56 N		74 35 W
CCU CALCUTTA, INDIA		22 30 N		88 20 E
CMB COLOMBO, SRI LANKA		6 55 N		79 52 E
RML COLOMBO, SRI LANKA		6 55 N		79 52 E
DEL DELHI, INDIA		28 40 N		77 14 E
HAN HANOI, VIETNAM		21 01 N		105 52 E
HRB HARBIN, CHINA		45 45 N		126 41 E
SGN HO CHI MINH, VIETNAM	10 46 N		106 43 E
HKG HONG KONG, HONG KONG	22 15 N		114 10 E
ISB ISLAMABAD, PAKISTAN		33 40 N		73 08 E
CGK JAKARTA, INDONESIA		6 08 S		106 45 E
HLP JAKARTA, INDONESIA		6 08 S		106 45 E
JKT JAKARTA, INDONESIA		6 08 S		106 45 E
KOJ KAGOSHIMA, JAPAN		31 37 N		130 32 E
IXY KANDLA, INDIA		23 03 N		70 11 E
KHI KARACHI, PAKISTAN		24 51 N		67 02 E
KTM KATHMANDU, NEPAL		27 42 N		85 19 E
GNS GUNUNGSITOLI ,INDONESIA	6 03 S		116 32 E
KBR KOTA BHARU, MALAYSIA	2 33 N		102 10 E
BKI KOTA KINABALU, MALAYSIA	2 33 N		102 10 E
KUL KUALA LUMPUR, MALAYSIA	3 08 N		101 42 E
KMG KUNMING ,CHINA		25 04 N		102 41 E
MLG MALANG, INDONESIA		7 59 S		112 45 E
MDL MANDALAY, MYANMAR		21 57 N		96 04 E
MNL MANILA, PHILIPPINES		14 35 N		120 59 E
NAG NAGPUR, INDIA		21 10 N		79 12 E
PDG PADANG, INDONESIA		6 12 S		120 27 E
PLW PALU, INDONESIA		8 19 S		121 44 E
PEN PENANG ,MALAYSIA		5 30 N		100 28 E
PNK PONTIANAK, INDONESIA	0 05 S		109 16 E
RGN RANGOON, MYANMAR		16 47 N		96 10 E
SPK SAPPORO, JAPAN		43 05 N		141 21 E
CTS SAPPORO CHITOSE, JAPAN	43 05 N		141 21 E
OKD SAPPORO OKADAMA, JAPAN	43 05 N		141 21 E
SEL SEOUL, KOREA		37 30 N		127 00 E
SHA SHANGHAI, CHINA		31 06 N		121 22 E
SIN SINGAPORE, SINGAPORE	1 18 N		103 50 E
SOQ SORONG, INDONESIA		0 50 S		131 17 E
TMH TANAHMERAH, INDONESIA	6 08 S		140 18 E
